dep_iata,airline_iata,flight_iata,dep_time,dep_estimated,dep_actual,arr_iata,arr_time,arr_estimated,arr_actual,status,dep_delayed,arr_delayed
MIA,AA,AA1154,2023-10-24 13:09,2023-10-24 13:03,2023-10-24 13:03,SDQ,2023-10-24 15:28,2023-10-24 15:09,N/A,active,,
MIA,PY,PY422,2023-10-24 13:15,2023-10-24 13:04,2023-10-24 13:04,GEO,2023-10-24 17:45,N/A,N/A,active,,
MIA,WN,WN1770,2023-10-24 13:10,2023-10-24 13:04,2023-10-24 13:04,MSY,2023-10-24 14:15,2023-10-24 13:56,N/A,landed,,
MIA,LA,LA4401,2023-10-24 13:17,2023-10-24 13:08,2023-10-24 13:08,BOG,2023-10-24 15:59,N/A,N/A,active,,
MIA,4C,4C4401,2023-10-24 13:17,2023-10-24 13:08,2023-10-24 13:08,BOG,2023-10-24 15:59,N/A,N/A,active,,
MIA,VS,VS7750,2023-10-24 13:17,2023-10-24 13:08,2023-10-24 13:08,BOG,2023-10-24 15:59,N/A,N/A,active,,
MIA,UA,UA1938,2023-10-24 13:22,2023-10-24 13:15,2023-10-24 13:15,IAD,2023-10-24 15:55,2023-10-24 15:52,N/A,active,,
MIA,CM,CM2784,2023-10-24 13:22,2023-10-24 13:15,2023-10-24 13:15,IAD,2023-10-24 15:55,2023-10-24 15:52,N/A,active,,
MIA,FI,FI7970,2023-10-24 13:31,2023-10-24 13:22,2023-10-24 13:22,JFK,2023-10-24 16:29,N/A,N/A,active,,
MIA,EY,EY8406,2023-10-24 13:31,2023-10-24 13:22,2023-10-24 13:22,JFK,2023-10-24 16:29,N/A,N/A,active,,
MIA,QR,QR4136,2023-10-24 13:31,2023-10-24 13:22,2023-10-24 13:22,JFK,2023-10-24 16:29,N/A,N/A,active,,
MIA,B6,B62392,2023-10-24 13:31,2023-10-24 13:22,2023-10-24 13:22,JFK,2023-10-24 16:29,N/A,N/A,active,,
MIA,DL,DL7945,2023-10-24 13:30,2023-10-24 13:26,2023-10-24 13:26,MEX,2023-10-24 15:10,2023-10-24 14:40,N/A,active,,
MIA,LY,LY8223,2023-10-24 13:30,2023-10-24 13:26,2023-10-24 13:26,MEX,2023-10-24 15:10,2023-10-24 14:40,N/A,active,,
MIA,AM,AM423,2023-10-24 13:30,2023-10-24 13:26,2023-10-24 13:26,MEX,2023-10-24 15:10,2023-10-24 14:40,N/A,active,,
MIA,AR,AR7440,2023-10-24 13:30,2023-10-24 13:26,2023-10-24 13:26,MEX,2023-10-24 15:10,2023-10-24 14:40,N/A,active,,
MIA,AA,AA252,2023-10-24 13:28,2023-10-24 13:27,2023-10-24 13:27,HAV,2023-10-24 14:45,2023-10-24 14:44,2023-10-24 14:44,landed,,
MIA,MQ,MQ3320,2023-10-24 13:33,2023-10-24 13:28,2023-10-24 13:28,AUS,2023-10-24 15:45,2023-10-24 15:18,N/A,active,,
MIA,AA,AA3320,2023-10-24 13:33,2023-10-24 13:28,2023-10-24 13:28,AUS,2023-10-24 15:45,2023-10-24 15:18,N/A,active,,
MIA,AA,AA543,2023-10-24 13:35,2023-10-24 13:33,2023-10-24 13:33,CLT,2023-10-24 15:42,2023-10-24 15:33,N/A,active,,
MIA,BA,BA4924,2023-10-24 13:35,2023-10-24 13:33,2023-10-24 13:33,CLT,2023-10-24 15:42,2023-10-24 15:33,N/A,active,,
MIA,IB,IB4181,2023-10-24 13:35,2023-10-24 13:33,2023-10-24 13:33,CLT,2023-10-24 15:42,2023-10-24 15:33,N/A,active,,
MIA,AA,AA3554,2023-10-24 13:45,2023-10-24 13:42,2023-10-24 13:42,CVG,2023-10-24 16:28,N/A,N/A,active,,
MIA,AY,AY5691,2023-10-24 13:40,2023-10-24 13:42,2023-10-24 13:42,DFW,2023-10-24 16:00,2023-10-24 15:49,N/A,active,2,
MIA,GF,GF4152,2023-10-24 13:40,2023-10-24 13:42,2023-10-24 13:42,DFW,2023-10-24 16:00,2023-10-24 15:49,N/A,active,2,
MIA,G3,G36288,2023-10-24 13:40,2023-10-24 13:42,2023-10-24 13:42,DFW,2023-10-24 16:00,2023-10-24 15:49,N/A,active,2,
MIA,AS,AS6137,2023-10-24 13:40,2023-10-24 13:42,2023-10-24 13:42,DFW,2023-10-24 16:00,2023-10-24 15:49,N/A,active,2,
MIA,AA,AA1276,2023-10-24 13:40,2023-10-24 13:42,2023-10-24 13:42,DFW,2023-10-24 16:00,2023-10-24 15:49,N/A,active,2,
MIA,MQ,MQ3554,2023-10-24 13:45,2023-10-24 13:42,2023-10-24 13:42,CVG,2023-10-24 16:28,N/A,N/A,active,,
MIA,WN,WN1476,2023-10-24 13:50,2023-10-24 13:46,2023-10-24 13:46,HOU,2023-10-24 15:35,2023-10-24 15:23,N/A,active,,
MIA,MQ,MQ3629,2023-10-24 13:50,2023-10-24 13:47,2023-10-24 13:47,IND,2023-10-24 16:39,2023-10-24 16:27,N/A,active,,
MIA,AA,AA3629,2023-10-24 13:50,2023-10-24 13:47,2023-10-24 13:47,IND,2023-10-24 16:39,2023-10-24 16:27,N/A,active,,
MIA,1I,1I104,2023-10-24 10:44,2023-10-24 13:49,2023-10-24 13:49,ICT,N/A,N/A,N/A,active,,
MIA,NK,NK3144,2023-10-24 13:45,2023-10-24 13:50,2023-10-24 13:50,IAH,2023-10-24 15:40,2023-10-24 15:37,N/A,active,5,
MIA,AC,AC1203,2023-10-24 13:55,2023-10-24 13:50,2023-10-24 13:50,YYZ,2023-10-24 17:04,2023-10-24 17:02,N/A,active,,
MIA,SN,SN9742,2023-10-24 13:55,2023-10-24 13:50,2023-10-24 13:50,YYZ,2023-10-24 17:04,2023-10-24 17:02,N/A,active,,
MIA,TK,TK8683,2023-10-24 13:55,2023-10-24 13:50,2023-10-24 13:50,YYZ,2023-10-24 17:04,2023-10-24 17:02,N/A,active,,
MIA,AA,AA1572,2023-10-24 13:53,2023-10-24 13:54,2023-10-24 13:54,YYZ,2023-10-24 17:08,2023-10-24 17:10,N/A,active,1,2
MIA,WN,WN1544,2023-10-24 13:55,2023-10-24 13:54,2023-10-24 13:54,DAL,2023-10-24 16:00,N/A,N/A,active,,
